"","Name","p","t","ValueAtRandomPoints"
"196","pine",687.09828922632,9.89486533717154,6.71766962299512e-09
"197","pine",893.471346825572,12.1972426532287,4.13457855896397e-08
"198","pine",930.596505103231,9.11110293297677,5.8281218663478e-09
"199","pine",1331.32541842657,15.3862210375212,6.2075679072722e-09
"200","pine",1183.49079223965,10.4421757023272,7.09612004325673e-09
"201","pine",836.481028882107,15.567793353692,3.55880304297636e-08
"202","pine",1319.68857193774,12.0349316395537,5.49184931089611e-09
"203","pine",1079.23245286332,15.8068186769892,1.62588141760836e-08
"204","pine",1285.83507632709,14.5107817009013,1.07944187723205e-08
"205","pine",900.330013192981,10.186135693723,1.93771987855028e-08
"206","pine",606.565730219081,10.6576034052223,7.40110951038941e-09
"207","pine",1151.23922129274,11.499604088462,1.37778234807375e-08
"208","pine",548.219933236395,18.3269424610323,2.38492933727272e-08
"209","pine",734.853203126249,17.675374707416,2.51905101011801e-08
"210","pine",461.643496932321,19.069249202645,9.31317223831088e-09
"211","pine",746.046531841825,13.5940615677098,3.92670434954247e-08
"212","pine",1328.44646092628,12.9569654976693,8.39738249906453e-09
"213","pine",455.594545371646,13.8654222410989,1.62092018605235e-08
"214","pine",581.504985766285,11.2708325783636,1.10008519323126e-08
"215","pine",441.338494424789,14.30488761267,1.64384998183733e-08
"216","pine",1115.29503360357,12.8755630129455,1.53702883431986e-08
"217","pine",525.915257820144,12.7509877695806,2.16934583878203e-08
"218","pine",477.319912852314,12.8949739966153,1.18593084491963e-08
"219","pine",344.18721958891,16.591193886176,6.93452678281051e-09
"220","pine",1250.02155132418,11.7074232457542,1.12100856084798e-08
"221","pine",791.230264719843,18.3970509713326,1.25073482261965e-08
"222","pine",430.165556692991,18.1590990012211,8.27030299964691e-09
"223","pine",775.275357369213,12.2615995809748,3.2805187094496e-08
"224","pine",1206.95840938859,11.9857279619557,1.53788628336361e-08
"225","pine",1319.77000750356,15.3051408741165,6.82621481109561e-09
"226","pine",1260.76313776918,14.3686514597674,1.29113549845663e-08
"227","pine",558.951394453868,13.0886977518517,3.31011092752854e-08
"228","pine",928.019425346206,17.4836600104384,1.28153965917547e-08
"229","pine",571.550668155165,14.8718613225071,5.13159222275958e-08
"230","pine",1248.74048084865,15.0432989125228,1.03038402259524e-08
"231","pine",787.232784479997,14.0548805534803,3.79408134101977e-08
"232","pine",760.649143443869,16.3034308469253,3.06589689023806e-08
"233","pine",949.572522691526,9.22414310352097,8.95879538268327e-09
"234","pine",741.632575266295,16.9957064476162,2.75256109348415e-08
"235","pine",1111.72263064322,12.2434615210235,1.48421941000772e-08
"236","pine",971.247790282984,10.7524387245614,2.86200147352725e-08
"237","pine",1147.19079783722,8.93578117264095,7.69302740501709e-09
"238","pine",731.274741336792,17.0272356250915,2.82314679850935e-08
"239","pine",768.561838082552,10.3873224982955,1.55118974872155e-08
"240","pine",823.023736765672,11.8710575072449,3.40388395228601e-08
"241","pine",1062.21383917785,8.45364056888777,6.51451588424554e-09
"242","pine",465.64056155916,15.4749638660937,2.9451389394419e-08
"243","pine",874.853565284774,16.6771236169393,3.09878239638464e-08
"244","pine",1280.12041488029,14.8018149474608,1.00603511424639e-08
"245","pine",987.687348490609,9.37599301815337,1.49076693219474e-08
"246","pine",928.835711252216,13.382744960181,4.5296210207889e-08
"247","pine",844.495324400576,12.3837562291772,3.71472666631105e-08
"248","pine",603.098598926108,11.6766186327489,1.70858171253498e-08
"249","pine",858.528995427403,16.8965770675127,2.85513522560066e-08
"250","pine",944.857165692802,14.5799615380615,3.54743123060721e-08
"251","pine",944.16256411218,14.7461414000586,3.53639284673317e-08
"252","pine",1190.88862639321,13.926939902727,1.66484727922194e-08
"253","pine",840.530640585769,14.6929864453632,3.86135147570878e-08
"254","pine",643.793142946605,19.171858729375,1.61933199953168e-08
"255","pine",516.046265819927,13.0896441425135,2.40546475778991e-08
"256","pine",1347.10864430002,15.0722826153987,6.11459157842448e-09
"257","pine",371.112912478903,15.9084987679029,9.78630865752171e-09
"258","pine",978.32817401459,14.8908586135268,3.02813132937816e-08
"259","pine",483.731234676228,19.56703651229,7.90979894646121e-09
"260","pine",716.681740869883,11.0357915641942,1.91589084847962e-08
"261","pine",996.301525103148,15.6049540175661,2.88703347960219e-08
"262","pine",547.860908517858,19.1452446486371,1.60235944359992e-08
"263","pine",429.588139293981,16.0401953743626,1.95412852798388e-08
"264","pine",676.619543617647,16.9021833666539,3.47188998064968e-08
"265","pine",715.332627953274,10.5310994835206,1.42607732540249e-08
"266","pine",667.337900286013,10.1082848167771,7.30002952793367e-09
"267","pine",1076.44508692338,12.3933736254502,1.84703565730954e-08
"268","pine",1306.63934623994,13.824509418488,1.09162507840316e-08
"269","pine",817.951805059672,16.9730450080387,2.67392083419769e-08
"270","pine",1224.92584800702,10.8486617341736,6.34043133867325e-09
"271","pine",1178.09103755636,10.7157461471492,9.04215313245623e-09
"272","pine",1077.08092373455,13.837764337032,1.91923663968857e-08
"273","pine",530.214028604686,16.7629924383601,3.8822337465474e-08
"274","pine",1170.8139198044,9.70386110290969,6.12029414653854e-09
"275","pine",1285.2361038196,15.6583344443564,6.30385915359607e-09
"276","pine",847.666046317852,16.2848821256651,3.20281224381943e-08
"277","pine",1273.94735336806,14.0752571973752,1.29059891274547e-08
"278","pine",651.183417684751,13.0559911249129,4.00411097156453e-08
"279","pine",1105.37082616313,9.86069059980444,1.27053900645109e-08
